id,ra,dec,distance,pm_ra,pm_dec,B,B_error,gprime,gprime_error,BP,BP_error,V,V_error,rprime,rprime_error,G,G_error,iprime,iprime_error,RP,RP_error,J,J_error,H,H_error,K,K_error,W1,W1_error,W2,W2_error,W3,W3_error,W4,W4_error
183340407135694976,81.97694704,35.8633888,1.111428994,1.690595043,-4.462766088,13.689,0.016,13.36,0.026,13.7743082,0.002945490033,13.113,0.03,12.982,0.018,13.49108696,0.002771120594,12.807,0.029,13.03869152,0.003929620982,12.49400043,0.04399999976,12.29399967,0.04500000179,12.24600029,0.04399999976,11.5880003,0.02300000004,11.61200047,0.02199999988,11.20400047,0.1669999957,,
183340407135694464,81.97814221,35.8633897,1.118229932,1.507562417,-4.542747791,,,,,14.33593178,0.004157770109,,,,,14.00697327,0.002831175391,,,13.48397636,0.004321676676,,,,,,,,,,,,,,
183351608410362240,82.10074224,35.86346293,1.155772512,1.609088145,-4.576915356,14.62,0.027,14.239,0.019,14.2152195,0.003009325848,13.974,0.014,13.799,0.011,13.89445972,0.002794699443,13.635,0.035,13.40724373,0.003963329332,12.84000015,0.02300000004,12.62800026,0.02300000004,12.51799965,0.02199999988,12.47399998,0.02400000021,12.50599957,0.02600000054,,,,
1.83349E+17,82.33226225,35.86428527,1.129855233,1.384064083,-4.458315086,13.032,0.008,12.786,0.019,12.78777122,0.002910405984,12.676,0.022,12.655,0.008,12.61945152,0.002782764297,12.676,0.037,12.32679653,0.003828596938,11.96100044,0.01899999939,11.87899971,0.02199999988,11.82299995,0.01999999955,11.7670002,0.02300000004,11.83199978,0.02099999972,11.38700008,0.2049999982,,
183340441495429760,81.98953904,35.86439868,1.132715162,1.365023212,-4.367981823,13.148,0.021,12.899,0.014,12.88005161,0.002868499928,12.739,0.029,12.708,0.009,12.67703247,0.002772998783,12.671,0.027,12.33337975,0.003819911635,11.91600037,0.02300000004,11.77200031,0.01799999923,11.71000004,0.02099999972,11.6619997,0.02300000004,11.67099953,0.02199999988,11.67700005,0.2509999871,,
183351608410358656,82.10554428,35.86511544,1.146499756,1.491056236,-4.610040889,,,,,15.06584263,0.003394168985,,,,,14.66453743,0.002775348514,,,14.08004665,0.003927595029,,,,,,,,,,,,,,
183351608410359168,82.10408384,35.86567486,1.140342299,1.618466763,-4.567828665,14.695,0.031,14.254,0.015,14.75257969,0.003041691209,13.902,0.021,13.702,0.02,14.37320232,0.002769888188,13.458,0.024,13.81451416,0.003929170827,13.12199974,0.04100000113,12.89799976,0.04500000179,12.7869997,0.04699999839,12.14700031,0.02400000021,12.15999985,0.02400000021,,,,
183339990520625024,82.0212006,35.86593319,0.76790513,1.404828086,-4.75448827,,,,,20.79559517,0.09043689805,,,,,19.23367119,0.004459394862,,,18.23614502,0.02424241932,,,,,,,,,,,,,,
183339926099331072,82.05748297,35.86597256,1.096054685,1.415843023,-4.29993068,14.593,0.035,14.232,0.017,14.20271015,0.004216009952,13.926,0.032,13.738,0.035,13.8800087,0.002891411469,13.49,0.039,13.38187218,0.004749647511,12.84000015,0.02199999988,12.64700031,0.02099999972,12.53199959,0.02400000021,12.22799969,0.02400000021,12.20600033,0.02500000037,11.58300018,0.2329999954,,
183340407135693184,81.98276858,35.86600174,1.05805477,1.616443,-4.513703567,,,,,16.87743187,0.009255324612,,,,,16.30422783,0.002910842262,,,15.57254505,0.006589547021,14.67099953,0.03299999982,14.21399975,0.04100000113,14.06200027,0.04899999872,13.98200035,0.02899999917,14.09399986,0.04399999976,,,,
